id,lab test 1,class test 1,lab test 2,labs,assignment,lab exam,written exam
1430510,55.0,27,92.4,100.0,75.2,97.5,52.5
1374630,10.0,10,10.0,100.0,68.5,32.5,0.0
1441687,36.7,29,60.0,95.0,77.6,80.0,34.0
1486195,60.0,34,88.0,100.0,93.2,80.0,52.5
1320344,30.0,29.5,90.0,100.0,58.8,65.8,40.0
1367915,80.0,34,45.0,100.0,96.5,80.0,46.0
1369248,100.0,56,100.0,100.0,105.0,100.0,66.0
1499589,34.0,21,77.5,6.7,55.7,46.7,35.5
1452153,88.4,36.5,100.0,96.7,90.8,81.1,43.0
1320332,56.1,31,50.1,71.5,62.5,52.5,40.5
1413243,25.0,13,21.0,83.3,78.5,32.5,26.0
1388304,51.4,12,10.0,93.3,96.3,0.0,19.0
1452449,54.0,21,80.0,95.6,89.7,80.0,31.5
1334496,55.3,37.5,96.7,96.2,90.2,80.0,53.0
1435562,100.0,45.5,100.0,100.0,102.1,100.0,61.5
1363480,59.4,16,19.9,46.7,45.0,18.6,17.0
1343233,,,,0.0,,,0.0
1393745,100.0,44.5,100.0,100.0,96.0,100.0,48.5
1442946,45.0,29,79.5,100.0,89.4,47.5,31.5
1319781,92.7,45,100.0,100.0,105.0,100.0,68.0
1443621,96.7,37.5,94.9,100.0,101.5,100.0,45.5
1399627,100.0,53,97.5,100.0,103.1,100.0,53.5
1355637,82.2,22,36.7,100.0,67.2,41.1,29.0
1426860,30.0,27,70.0,99.5,85.6,100.0,42.5
1335835,29.4,18,45.0,87.8,86.0,75.0,27.0
1339663,26.0,8,0.0,15.0,37.5,2.5,14.0
1403248,0.0,,0.0,0,0,0,0,0,0,0,0
1434706,100,0,47,5,94,9,100,0,101,5,100,0,50,5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
