id;class test 1;lab test 1;class test 2;lab test 2;class participation;lab exam;written
1517090;27,5;42;22,5;85,0;95,4;95,0;43,0
1650364;34,0;68;21,0;100,0;101,5;100,0;26,0
1522174;22,0;0;10,5;0,0;36,9;7,5;13,5
1601567;31,0;88;32,0;101,3;98,2;100,0;51,0
1517456;14,0;30;13,0;58,8;98,5;60,0;23,0
1628608;32,0;20;15,0;45,0;57,2;50,0;26,5
1665855;10,0;0;10,5;35,0;2,6;10,0;14,0
1537557;21,0;0;16,5;75,0;92,9;80,0;34,0
1691050;35,0;68;30,0;90,0;53,7;90,0;37,5
1650124;22,5;30;18,0;45,0;95,0;72,5;23,5
1549936;6,0;4;5,5;32,5;87,9;40,0;13,5
1525049;26,0;0;0,0;0,0;28,1;0,0;
1653005;38,5;80;35,5;95,0;52,3;72,5;44,0
1578905;20,0;18;0,0;0,0;1,7;0,0;
1578800;35,5;60;18,5;75,0;75,5;80,0;35,0
1615176;41,0;60;25,0;103,8;98,5;100,0;35,5
1684401;22,5;22;13,0;6,3;31,4;37,5;27,5
1578919;40,0;72;31,5;103,8;74,6;100,0;34,0
1566156;41,0;60;36,5;105,0;97,6;100,0;59,0
1673801;39,0;80;30,0;85,0;67,7;70,0;38,0
1649327;26,5;44;33,0;100,0;78,5;85,0;52,5
1546551;24,5;38;27,0;90,0;64,1;72,5;37,0
1551165;42,0;105;39,5;102,5;101,5;100,0;57,0
1612726;37,5;100;39,0;101,3;72,5;100,0;52,0
1600061;10,5;0;12,0;21,3;34,2;5,0;29,0
1672993;33,5;96;25,0;95,0;95,2;85,0;40,5
1575388;29,0;24;26,5;100,0;72,4;100,0;33,0
1675055;46,5;96;30,5;100,0;77,4;85,0;40,0
1510339;37,0;88;33,0;105,0;99,2;92,5;42,0
1598443;37,0;88;24,5;85,0;73,3;70,0;34,0
1698252;33,5;50;30,5;93,8;75,4;85,0;22,0
1553403;35,0;88;28,5;90,0;71,7;95,0;41,5
1612608;34,5;30;25,0;45,0;66,3;72,5;39,5
1628287;20,5;30;15,5;85,0;78,5;55,0;22,0
1548674;13,0;30;13,0;52,5;39,3;37,5;22,5
1513454;20,5;0;12,5;27,5;85,7;80,0;19,5
1606540;38,0;34;30,5;100,0;96,3;100,0;50,5
1520941;37,5;100;38,0;100,0;101,5;100,0;47,5
1649519;35,0;64;27,0;45,0;57,8;62,5;27,5
1536922;24,0;50;18,5;90,0;101,5;72,5;22,5
1622906;40,5;100;38,0;105,0;81,5;100,0;51,5
1520788;38,0;40;40,0;103,8;101,5;100,0;55,0
1583349;18,5;0;8,0;22,5;41,9;10,0;3,5
1568812;25,0;27,3;12,0;35,0;60,0;7,5;16,5
1682266;11,5;4;9,0;0,0;54,7;17,5;13,0
1506360;35,0;50;18,0;90,0;77,6;52,5;29,0
1511209;36,0;100;34,0;100,0;81,1;77,5;39,0
1581274;34,5;60;34,0;100,0;96,1;100,0;38,5
1628059;23,0;24;22,5;67,5;93,3;70,0;38,5
1500524;34,0;30;25,0;80,0;69,1;100,0;32,5
1608032;26,0;10;7,0;60,0;74,0;37,5;19,5
1683806;18,0;30;19,5;0,0;42,5;0,0;
1697597;28,5;10;27,0;75,0;92,3;80,0;30,0
1510301;16,0;30;22,0;70,0;70,6;37,5;30,5
1658844;44,0;100;31,5;100,0;86,5;100,0;43,0
1560138;6,0;0;12,5;52,5;68,3;75,0;20,0
1528445;16,5;0;20,0;32,5;18,1;57,5;39,0
1643357;30,5;36;21,5;52,5;90,1;90,0;33,0
1510507;23,5;16;19,0;45,0;75,0;40,0;23,0
1506241;40,0;64;24,0;90,0;92,0;85,0;40,0
1643536;0,0;0;12,5;0,0;0,0;0,0;16,5
